年份,工业总产值,工业增加值,规模以上工业生产总值
1952,0.84,0.23,
1957,1.8,0.5,
1962,2.67,0.75,
1965,4.59,1.28,
1970,6.71,1.88,
1975,12.14,3.4,
1978,16.18,4.53,
1979,18.06,5.06,
1980,19.94,5.58,
1985,45.13,14.31,
1990,137.28,34.5,
1995,506.82,130.01,
2000,1123.85,321.15,
2001,1162.64,346.98,
2002,1342.91,385.36,
2003,1627.09,463.84,
2004,1992.1,539.56,
2005,2209.99,564.2,
2006,2545.96,601.85,
2007,3080.63,699.55,
2008,3584.58,791.24,
2009,3965.65,891.64,
2010,4869.05,1127.59,
2011,5873.36,1355.19,5321.18
2012,6353.25,1481.99,5954.89
2013,7253.98,1654.51,6786.33
2014,8009.76,1816.87,7495.26
2015,8195.22,1875.26,7845
2016,8810.37,1978.83,8419.65
2017,8931.28,2227.15,8591.99
